source_dataset,source_row_id,source_name,raw_smiles,canonical_smiles,inchikey,is_first_occurrence_of_structure
lnp_atlas,2,H1,CCCCCCCCC/C=C/CCCCCCCCC(=O)N(N)CCCCCCCCCC,CCCCCCCCC/C=C/CCCCCCCCC(=O)N(N)CCCCCCCCCC,MUHHXXHKRZEKSM-WUKNDPDISA-N,True
lnp_atlas,3,H2,CCCCCC(C)CCCC(=O)OCCC(N(C)N)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)N(C)N,ZPJZLWVZXOFFOR-WUKNDPDISA-N,True
lnp_atlas,4,H3,CCCCCCC/C=C/CCCCCCCCC(N(C)N)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCC/C=C/CCCCCCCCC(C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC)N(C)N,RJMPEKOSHLVYSO-WRVMAFBXSA-N,True
lnp_atlas,5,H4,CCCCCC(C)CCCC(=O)OCCC(NCCCCN(CCCC)CCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)NCCCCN(CCCC)CCCCC,FZNKZOFCAKDKIO-QURGRASLSA-N,True
lnp_atlas,6,H5,CCCCCCCCC/C=C/CCCCCCCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCCCCCC,CCCCCCCCC/C=C/CCCCCCCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCCCCCC,PBTLHCGNFKEVCZ-OCEACIFDSA-N,True
lnp_atlas,7,H6,CCCCCCCC/C=C/C(=O)OCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C/C(=O)OCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,LAJZDHJEUPCAFD-SIUBYISPSA-N,True
lnp_atlas,8,H7,CCCCCC(C)CCCC(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCCC(C)CCCCC)NN1CCCCCC1,GMWBBJJSILHLNQ-FOCLMDBBSA-N,True
lnp_atlas,9,H8,CCCCCCCC/C=C/C(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C/C(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,KKLLLPFFRKFMFH-MFWIGMJUSA-N,True
lnp_atlas,10,H10,CCCCCC(C)CCC(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCC/C=C/CCCCCCCCCCNC(=O)C(CCOC(=O)CCC(C)CCCCC)NCCN(C(C)C)C(C)C,ZNXRZVYWERDKLJ-FMQUCBEESA-N,True
lnp_atlas,11,H11,CCCCCCC/C=C/C(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCC/C=C/C(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,XIVNGPSHDLBNHW-MNIQWHATSA-N,True
