source_dataset,source_row_id,source_name,raw_smiles,canonical_smiles,inchikey,is_first_occurrence_of_structure
lnpdb,LNP_0000001,87_O15,CCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCO)CCO)CCC(=O)OCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCO)CCO)CCC(=O)OCCCCCCCCCCCCCCC,FAEGASMYZXAEFV-UHFFFAOYSA-N,True
lnpdb,LNP_0000002,96_N12,CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,IJYIILCGYCDBOW-UHFFFAOYSA-N,True
lnpdb,LNP_0000003,98_N12,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,ZZVWHVWWEVJFIT-UHFFFAOYSA-N,True
lnpdb,LNP_0000004,64_N15,CCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCC,XCKLQHHLHRVHPM-UHFFFAOYSA-N,True
lnpdb,LNP_0000005,64_N16,CCCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCCC,JQZDBAVPMBWWDP-UHFFFAOYSA-N,True
lnpdb,LNP_0000006,26_O14,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(CO)CO,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(CO)CO,OPIZBAUMWQCFPQ-UHFFFAOYSA-N,True
lnpdb,LNP_0000007,32_N12,CCCCCCCCCCCCNC(=O)CCN(CCCCCO)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(CCCCCO)CCC(=O)NCCCCCCCCCCCC,WQVMBXFMUSQBAM-UHFFFAOYSA-N,True
lnpdb,LNP_0000008,95_N12,CCCCCCCCCCCCNC(=O)CCN(C)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(C)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,LMWWNAMIAUWEDW-UHFFFAOYSA-N,True
lnpdb,LNP_0000009,99_N12,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,WGXGSXMIKTXEFV-UHFFFAOYSA-N,True
lnpdb,LNP_0000010,100_N12,CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,NRYYPHAHIWRNKT-UHFFFAOYSA-N,True
lnpdb,LNP_0000011,11_N14,CCCCCCCCCCCCCCNC(=O)CCN(CCOCC)CCC(=O)NCCCCCCCCCCCCCC,CCCCCCCCCCCCCCNC(=O)CCN(CCOCC)CCC(=O)NCCCCCCCCCCCCCC,KTTXLPXEWSHOGF-UHFFFAOYSA-N,True
lnpdb,LNP_0000012,87_N14,CCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCO)CCO)CCC(=O)NCCCCCCCCCCCCCC,CCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCO)CCO)CCC(=O)NCCCCCCCCCCCCCC,RTRBSPPYENCZBY-UHFFFAOYSA-N,True
lnpdb,LNP_0000013,109_N14,CCCCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,CCCCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,STOYEIWQBDEBSO-UHFFFAOYSA-N,True
lnpdb,LNP_0000014,62_N16,CCCCCCCCCCCCCCCCNC(=O)CCN(CCN(CCC(=O)NCCCCCCCCCCCCCCCC)C(C)C)C(C)C,CCCCCCCCCCCCCCCCNC(=O)CCN(CCN(CCC(=O)NCCCCCCCCCCCCCCCC)C(C)C)C(C)C,PGJBRPQEWWYKRS-UHFFFAOYSA-N,True
lnpdb,LNP_0000015,63_N16,CCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(C)CCC(=O)NCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(C)CCC(=O)NCCCCCCCCCCCCCCCC,BROCJELSKVCUPG-UHFFFAOYSA-N,True
