Solvent,ShortName,dD,dP,dH,PolarityIndex,DielectricConstant,Protic,HBD_Solvent,HBA_Solvent
n-Hexane,Hexane,14.9,0.0,0.0,0.1,1.89,0,0,0
Heptane,Heptane,15.3,0.0,0.0,0.1,1.92,0,0,0
Toluene,Toluene,18.0,1.4,2.0,2.4,2.38,0,0,0
Diethyl ether,Et2O,14.5,2.9,5.1,2.8,4.34,0,0,1
Dichloromethane,DCM,17.0,7.3,7.1,3.1,8.93,0,0,0
Chloroform,CHCl3,17.8,3.1,5.7,4.1,4.81,0,0,0
Tetrahydrofuran,THF,16.8,5.7,8.0,4.0,7.58,0,0,1
Ethyl acetate,EtOAc,15.8,5.3,7.2,4.4,6.02,0,0,1
Acetone,Acetone,15.5,10.4,7.0,5.1,20.7,0,0,1
2-Propanol,IPA,15.8,6.1,16.4,3.9,18.3,1,1,1
Ethanol,EtOH,15.8,8.8,19.4,5.2,24.6,1,1,1
Methanol,MeOH,15.1,12.3,22.3,5.1,32.6,1,1,1
Acetonitrile,ACN,15.3,18.0,6.1,5.8,35.9,0,0,1
"N,N-Dimethylformamide",DMF,17.4,13.7,11.3,6.4,36.7,0,0,1
Dimethyl sulfoxide,DMSO,18.4,16.4,10.2,7.2,46.7,0,0,1
